"","NM_002996.3_psr1_at","NM_012243.1_psr1_s_at","NM_001005915.1_psr1_at","NM_178155.1_psr1_a_at","NM_005623.2_psr1_at","NM_145793.2_psr1_at","NM_001826.1_psr1_s_at","NM_003741.2_psr1_at","NM_000875.3_psr1_at","NM_014216.3_psr1_at","NM_004776.3_psr1_at","NM_006016.3_psr1_a_at","NM_002300.4_psr1_x_at","NM_000127.2_psr1_at","NM_020692.1_psr1_at","NM_002794.3_psr1_s_at","NM_004569.3_psr1_at","NM_003774.3_psr1_at","NM_004315.3_psr1_x_at","NM_032047.4_psr1_at","NM_153603.1_psr1_at","NM_020998.2_psr1_x_at","NM_004864.2_psr1_s_at","NM_015892.2_psr1_at","NM_003360.2_psr1_s_at","NM_006456.1_psr1_at","NM_002988.2_psr1_at","NM_207585.1_psr1_s_at","NM_004315.3_psr1_at","NM_018656.2_psr1_at","NM_004267.3_psr1_at","NM_001005.3_psr1_at","uc003qxn.1_psr1_at","NM_017436.4_psr1_x_at","uc001xir.1_psr1_s_at","NM_002966.2_psr1_at","NM_001010887.2_psr1_at","NM_001005.3_psr1_x_at","NM_030753.3_psr1_at","NM_018389.3_psr1_at","NM_004273.2_psr1_at","NM_001982.2_psr1_s_at","NM_002115.1_psr1_s_at","NM_017515.3_psr1_s_at","NM_198845.2_psr1_a_at","uc001lsz.1_psr1_at","NM_058244.2_psr1_at","NM_007050.5_psr1_at","NM_001097641.1_psr1_x_at","NM_198516.1_psr1_at","NM_002090.2_psr1_at","uc001rln.1_psr1_s_at","NM_001719.1_psr1_at","NM_020998.2_psr1_s_at","NM_001011551.1_psr1_at","NM_025181.2_psr1_s_at","uc002xyc.1_psr1_a_at","NM_002982.3_psr1_at","NM_003012.3_psr1_at","NM_007210.3_psr1_s_at","NM_032834.3_psr1_at","uc002nyz.1_psr1_a_at","NM_003396.1_psr1_at","NM_020327.2_psr1_x_at","NM_017540.3_psr1_a_at","NM_198540.2_psr1_at","NM_003134.4_psr1_at","NM_002361.2_psr1_x_at","NM_005408.2_psr1_at","NM_207584.1_psr1_s_at","NM_001565.2_psr1_at","NM_006416.3_psr1_s_at","NM_005430.2_psr1_at","NM_005117.2_psr1_at","NM_024572.2_psr1_s_at","NM_001559.2_psr1_at","NM_004302.3_psr1_at","NM_003738.3_psr1_at","NM_003904.3_psr1_at","NM_015650.2_psr1_s_at","NM_002361.2_psr1_a_at","NM_005548.1_psr1_s_at","NM_017617.3_psr1_at","NM_025208.4_psr1_at","NM_173216.1_psr1_at","NM_000979.2_at","NM_014398.3_psr1_at","NM_023068.3_psr1_s_at","NM_024533.3_psr1_x_at","NM_001203.1_psr1_at","NM_001097641.1_psr1_at","NM_017423.2_psr1_at","NM_018413.3_psr1_s_at","NM_002406.2_psr1_at","NM_004854.3_psr1_at","NM_004158.2_at","NM_003507.1_psr1_at","NM_006419.1_psr1_at","NM_021615.4_psr1_a_at","NM_005631.3_psr1_at","NM_002184.2_psr1_s_at","NM_004112.2_psr1_a_at","NM_002033.2_psr1_at","NM_000584.2_psr1_x_at","NM_003359.2_psr1_at","NM_000584.2_psr1_at","NM_002633.2_psr1_at","NM_003034.3_psr1_at","NM_000597.2_psr1_s_at","NM_024944.2_psr1_a_at","NM_172236.1_psr1_at","NM_005524.2_psr1_at","NM_007357.1_psr1_at","NM_024105.3_psr1_at","uc003lvg.1_psr1_at","NM_003564.1_psr1_at","NM_004515.2_psr1_s_at","NM_006122.2_psr1_s_at","NM_003994.4_psr1_at","NM_172174.1_psr1_at","NM_002435.1_psr1_a_at","NM_000201.2_psr1_at","NM_001054.2_psr1_x_at","uc002jjf.1_psr1_s_at","NM_001040168.1_psr1_a_at","NM_000021.2_psr1_a_at","response"
"GSM801843_JB_072310_CELTYP_63EstroRecepPOSTumor9_Glyco_v4_Hs.CEL.gz",6.21523851539265,6.59640211127311,7.3416443551058,8.5742841687828,6.98578908371134,8.34530222604751,10.2840333041917,8.37715768191986,8.048099804867,8.93448838422205,7.08654000157006,11.0408375256693,10.9409537055289,8.02325915196859,6.21487331692525,9.7330617781597,7.33165657841342,5.79593479509113,9.95966407561938,7.31525617739595,7.08610482738742,7.48784671860257,7.96486065176307,8.16637940705776,4.78770496677166,11.008536295832,4.97473052021796,7.71470724988803,8.73748612543465,8.6635784214933,6.07529260008272,12.5771354173707,5.07742895756559,6.66957475947546,6.80944763413952,10.3992301618954,3.45709618034218,12.4990031994138,5.30870054747042,6.55871829801441,6.08779038374611,9.83289689079468,5.92211516257621,5.8149641701491,4.05596887418006,5.9576241750903,4.66239259777607,6.96311391869564,4.543710177269,7.1529886386547,3.57872943228078,4.89225892617047,4.73528348686338,5.94200568027059,6.11697808538091,7.45696327145016,5.55021923431049,7.42786916208858,7.62098236247332,8.64417424485689,4.96376611484106,4.82017055927206,5.19058201458607,4.47508217759784,6.8843360120874,6.15380925358139,10.3973511877885,4.48734198072724,5.08355805130503,4.56150271383809,9.10916822644871,10.427399814787,5.57505779791414,4.62345397105388,5.25878532161306,3.57116205888935,7.87426946679295,5.18452372130497,8.28769407244952,4.55429929852429,5.7700781607915,9.36167960555765,6.10612514465598,7.82364169851378,8.11632349477025,12.5101091587257,6.29179672580809,6.98873142993815,5.99493118173917,8.33791223159758,5.03801642515622,10.0325100470565,5.3309995080007,8.31405425117137,7.5241624038313,6.53795549808057,6.47259202351653,6.21258975684442,3.88178247908135,6.09389334822097,4.16579596868646,4.66395677815916,5.83134150835182,6.39493478179345,7.63637813139094,4.2924983484788,9.11268061420036,3.91321728939512,9.61086212531956,4.60333185957346,4.52095850076877,9.04010224349422,8.60131046317864,6.45015851525661,5.85783516999163,10.5285188902957,10.0359740587026,5.39731018928675,9.0781289818748,4.74595356668416,7.73667938878493,6.97841466095863,6.23138155133121,6.07134944687511,5.83422272679881,8.85403486803343,"ERPOS"
"GSM801844_JB_072310_CELTYP_72EstroRecepPOSTumor8_Glyco_v4_Hs.CEL.gz",5.80620551481778,6.47452758066828,7.51533229118881,8.1392851305686,6.45850465777298,7.49817222108866,10.1284439513026,8.51563544160545,7.60045748979782,9.00008435488893,7.00332686090907,10.5536757471235,10.7692436677391,8.08355804061582,6.42708823882469,9.63385294191557,6.96503160239427,5.15468258100981,9.53315906454924,7.34058513829534,6.84478150391011,7.59085082764646,7.84779509115688,8.01614904003691,4.94834640276385,10.7012411922119,5.37264182182013,7.91476523941744,7.64066409854372,8.4801573184348,5.8910751751633,12.508718968481,5.06310305796408,6.90888410850439,6.34161834983977,10.4386038941211,3.62730744641269,12.5299157634985,5.59905126939784,6.59050578757626,6.18268647806661,9.5833778357033,6.028452590599,5.82391065217785,4.04367027189224,5.71690793939156,5.02227720223901,6.96539129617605,4.69775730841019,7.38180400775993,3.85657822262348,4.97150767312305,4.65425751958192,5.8440687393133,5.81242519514943,6.90337890999092,5.7948972791702,7.14518329535217,7.54563402546312,8.62455017289781,4.92951902183411,4.96222178431571,5.29088295809815,4.26442957666679,6.64290495547704,6.481326831045,9.56044977755617,4.67759613383858,4.83117635406806,4.34565076398054,8.70034637466653,10.1868855405119,5.50075527283915,4.7603858665136,5.40884517651564,3.96124250053665,7.6093792639629,5.14252633566783,8.15381556690078,4.60871393908516,6.08290151038157,9.22415878782371,6.54739704715772,7.29150702008894,7.93092241616968,12.5492588506015,6.14474962967833,6.91199275434169,6.34829088043147,8.11439970487432,4.89663152383551,9.61050981198176,5.01361343867382,8.40954560543401,7.46022766545841,6.63971896167289,6.4045382645311,5.79749058981269,4.30248404926596,6.28471761093699,4.44839878305666,5.06222918754193,6.00246196891696,6.0015780565308,6.90204986474697,3.85365550243703,8.90850204419266,4.36075373415206,9.70664507058513,4.65961888403797,4.72885707801955,8.89353093685779,8.55558122276151,6.67210432241423,5.80296236867897,10.6767737371377,9.89879827772623,5.73628971813774,8.78225480422349,4.94887217638766,7.82920502993695,6.95611172644616,6.41213617546309,5.95523622108254,6.1003244174956,8.76172513894384,"ERPOS"
"GSM801845_JB_072310_CELTYP_69EstroRecepPOSTumor7_Glyco_v4_Hs.CEL.gz",7.83255707067051,6.13354890444376,6.94431536231804,8.25111133827921,7.14737569533808,9.07082893393054,10.0975326036644,7.23479290506209,6.99017156393094,8.44072404278103,7.81267800589776,10.6726205244907,10.3128875135542,7.92035710573802,6.8940818595754,9.92679148863337,5.95728510496963,5.072490685904,8.59098350075702,5.91110271310653,6.89507578375182,6.77856053513353,8.31762918367549,8.13759392242165,5.03958005153754,8.61893986109449,6.52377028262053,8.14829428632102,7.35636380037599,7.96474177086068,6.26177787737673,12.176419706631,5.11932254142595,6.62168586225219,6.76626070022532,11.1421216047753,3.43408835410189,12.103435107339,5.05344853384003,6.94287949651779,6.51803507636984,10.0275645894734,6.07000997061337,6.25646329295369,4.21596555786915,5.61449791117976,4.5359258609184,5.1509168684684,5.06964351530296,6.12527707379282,3.78095201303175,4.00642075315835,5.23052134902376,5.0501116345772,5.99887499152845,7.38698905483911,5.74849913689807,8.08152964232942,10.1643156262805,9.99340529926868,4.2118518100571,4.80967350802362,5.25246321937334,4.40114482309115,7.08020246576388,5.93083295164776,9.19347213277742,4.58385821227915,5.37665115067554,5.11999269724053,9.37210523621028,10.1889501315073,5.70521734579878,4.62324204104332,5.84450320487178,4.03984442805972,7.66330297348883,5.36706290477695,7.76516507536645,4.48709780891826,5.86905390010079,9.77091228674587,7.17811126297969,7.27157308633705,8.81307991124372,12.6388088722258,8.72357407430388,7.73549383422817,6.09307722722449,3.38629814518762,5.42107421413983,9.21270051607538,5.59302961541719,8.60343735672716,6.12269113709345,6.55181454433731,8.02045781565105,9.10763281390941,4.0742077837696,6.63577372457076,3.44700842769174,5.08776619408695,5.90144895270731,5.06064340893618,7.96760910795589,3.09150780429481,8.00793306432772,4.25632572386859,9.17744502115385,5.25366037254091,4.29930470250444,9.51998075761439,8.06986138343709,6.2897457731484,5.83584930809407,10.6964385361199,10.4109550640936,5.10726456052206,8.2758844289398,4.75609208559128,6.82392275593311,7.34736205582897,6.10642732576206,5.92413118518002,5.09650074968967,8.76776756686774,"ERPOS"
"GSM801846_JB_072310_CELTYP_13EstroRecepPOSTumor6_Glyco_v4_Hs.CEL.gz",6.97421248960243,7.11800977253796,7.36105208589427,7.88876716444,5.50860458203529,7.75786743066282,9.46573654658998,6.31008063279104,9.28007391257438,8.12336418114877,7.32490988468058,11.0763221818494,9.92617501144871,7.28151005260093,6.37281358386932,9.44814289225643,6.42720913989986,4.862759207514,9.59136517379125,5.69616897706704,7.20070408089611,7.42918708146802,7.61686644681622,8.13440938443584,5.08652530841345,8.20430083384386,7.3340479086317,8.17983250977138,8.2935522804749,8.60602073883935,5.79066755592022,12.5202434645227,5.04521981031618,6.47576511566515,6.34309134430883,10.4531931200381,3.872626491021,12.4549157157733,5.45081851622053,6.94061062911833,6.54041530470963,10.8185718658087,5.96894537491658,6.2713394474424,4.06770295119298,5.54188484701931,4.64967735600091,5.64155503128974,4.71501006234304,6.18111447339624,3.64365030021723,4.36006864561216,4.8546032872083,6.15675067849645,6.05728408717956,7.51978473358616,5.56363656762937,6.25223187135494,9.98825561726789,9.32168224233492,4.54830559486123,4.88485046540865,5.24099152709703,4.65956476084361,7.07058420424762,6.04866649578645,9.75607303197785,4.53912330008384,5.19615580696126,4.90127655737119,5.81452157358732,9.44334470566154,5.76645580461889,4.72238080615207,5.05565956427558,3.77367462484308,8.24373104244339,5.39748808436136,7.62474681478215,4.59100994565881,5.83348266445859,9.7745821811075,6.82322443458077,8.58642066929923,8.2963978297474,12.4757526898963,5.77701516185423,6.53975520010418,6.18774963847869,7.59636802302139,5.24008950466226,8.97639774729388,4.53784697317674,8.44551388425067,6.84136287843272,6.67980556788541,8.01207347819784,4.74495122076614,4.05304504736002,6.14223464285272,4.89720991653967,5.70936894776962,6.13423059028696,5.34255918047552,7.37649625921959,3.19958770542779,9.0241290473884,3.88812637553718,10.1357181376201,4.9372292594531,4.8516434675047,10.1399732743457,8.47935313828761,6.4923329161942,5.97252043832715,10.3378313032707,10.0740199666584,5.96361178919791,8.46060790877475,4.60074217767501,7.58137549491293,6.64258230261694,6.51636617502705,6.45213831823087,4.93324091895171,8.40606227338459,"ERPOS"
"GSM801847_JB_072310_CELTYP_15EstroRecepPOSTumor5_Glyco_v4_Hs.CEL.gz",7.05042699900767,5.80278886565236,6.73383349161923,7.44653040578086,7.90058033933974,8.99242113401663,10.5344855984088,6.05413745160341,7.76432591781406,8.42563851685212,7.75942088240165,9.87833145009905,10.9638532664713,7.92757029180798,6.34450830505132,10.1772611860028,6.02369438436767,4.4137810430444,9.363695329911,6.19233197771952,6.81739260638838,6.51100460756277,7.62179605321868,7.84614089905612,4.80306000536029,8.77241731647931,8.18537613854838,8.79291611219853,8.19036830646053,8.28766130513216,6.73684637930471,12.508718968481,4.99499386113756,6.57827838544162,5.88254284410719,10.9082189247165,3.22463931057088,12.4333158064882,5.38859311606658,6.94214493738105,6.49129754856507,9.01908828947019,6.66434916832489,6.66933980150785,4.00403147454465,5.5775457941564,4.58023002896826,5.15955209453771,4.84647088400024,6.44233091889378,3.81595071701162,4.66553511854924,4.63421455465323,4.85772952984386,5.93658952080329,6.38558436004554,5.5815417140078,8.3508647865006,7.98371773870988,8.07661834452606,4.67265344045423,4.77540068924996,5.11800932651208,4.45470064445179,6.38558436004554,5.8610656869565,9.34848467381468,4.47871237987288,6.02823187961468,5.36337966950652,10.3172012507525,9.51131728430017,5.61074754609243,4.63947973652994,5.73425138500258,4.6474016528066,7.61002201015223,5.24234572324447,8.15907571891768,4.51576483752575,5.9855319044756,10.0518739417215,7.49704110067455,7.06115312326744,9.3359347795889,12.654863114134,8.70253387670516,7.86495378879374,5.9445221745613,6.06111367718706,5.10923954143879,8.67613758453655,6.32669896406816,8.85570261928978,6.73550218220903,6.4118861066118,7.00619586969864,9.65513217630964,4.14312561232138,5.91733080662498,3.40907552712452,4.9887846298852,6.66986882027072,4.65511305520111,6.64502196952636,2.75371969851942,8.48996809720573,5.04749598594618,8.42774502843724,4.52326037931494,4.44478811641682,7.17954729846677,7.96200940125677,6.23989881670588,5.75371096963126,11.0485026555798,10.2517706005475,5.48015034147598,7.00259481300748,5.65835645158721,7.42490905079227,8.10372796026344,6.11677477751374,6.49711705992893,5.22927518086235,8.48742010800033,"ERPOS"
"GSM801848_JB_072310_CELTYP_14EstroRecepPOSTumor4_Glyco_v4_Hs.CEL.gz",6.65547771611929,6.17206068430361,6.88868127758407,8.8436860675079,5.92922756066117,4.72577577756083,9.79672631241436,7.7004947430867,7.52643071009513,8.78146488385548,7.62900602015733,10.7019402850131,9.63353477235642,8.34941446073518,7.20192272855097,9.43326584581496,6.41124479008015,4.25592087715427,9.33801436879293,6.23350033419722,7.93137577168264,7.18858678022744,7.15964236509781,8.30306855135466,4.6858539177093,8.22128195039104,5.25186315920005,7.95494297214257,7.91338353491091,9.09353137920329,5.61365877390417,12.2578195948144,5.04430928436213,6.69027895109551,7.46858753858763,11.8074474553063,3.27952366266804,12.1543564002717,5.42501975932054,6.70077188772838,7.08368821928458,10.1499719248124,5.89802203159931,6.19827773075478,4.08958713357556,5.66953543307665,4.58023002896826,4.82008604201864,4.66290401197082,6.70215988070489,3.685990989891,4.5430738456005,5.57141056922308,5.5180425010983,6.00748129420946,7.11267558460559,5.84556013492804,6.92506150136194,8.46061232451792,6.47300009128188,4.45175613204615,4.77986106426401,5.3078803218667,4.42696462266015,7.75227282136476,6.03697678901804,9.73750720214751,4.47871237987288,5.03456966762458,4.62770856762223,7.009206194657,9.53732092024913,5.57505779791414,4.62741387130889,4.98147249613178,3.82536538712828,8.17599198200008,5.38522457137588,7.34451847490923,4.73712176001838,5.85827266418324,9.41898490683919,7.40396651910335,7.86043711165754,8.51954188777726,12.4583013921678,6.31508921925061,7.0582918455712,5.97554714303975,3.68495239922271,5.2362711132609,9.03904577981747,5.16328831828038,8.5574847938563,7.15594856816812,6.67150078286484,8.07785701324488,4.22313947006664,4.43995511744637,6.94806963902544,3.84257978984295,5.05979753154674,6.34995376559854,4.93255901181281,7.82018822474443,2.83388684392363,8.86084631954943,3.83872343904284,11.2688729367947,4.59378727202952,4.41765190180928,8.70669186805521,8.77469487224871,6.45428457802618,6.75493697380819,11.3243158430192,10.3738833280932,5.45528417387111,7.27988198317705,4.62373052870749,7.47073160546723,6.99337102332395,6.98163291683626,6.06517712407075,5.16822693677376,8.81414734324249,"ERPOS"
"GSM801849_JB_072310_CELTYP_53EstroRecepPOSTumor3_Glyco_v4_Hs.CEL.gz",6.6864027083562,6.9421471914313,6.82467464962628,9.19130831173986,5.72479840648435,7.13311182128514,9.7325752648222,6.13098388125864,9.30010512514142,9.16768500780176,7.80148333275329,10.7259069173575,9.38148861758163,8.27675391773495,6.21487331692525,9.98437150808578,6.04225666404007,4.74055818779407,8.63465904904762,5.96959804826175,7.7093245254377,7.19876764685917,6.48828761101661,8.51109177342597,5.13490604505941,8.69879560442697,5.26583214307636,8.02850774057194,7.22942917635939,8.41555889256506,5.82120941284764,12.3839623737501,5.1071635803454,6.57595955985738,7.9728336429986,10.9138882654371,3.67758596105289,12.3173284452665,5.78742683066788,6.98229722799935,6.84333418741013,10.1776686639286,6.17869977332353,7.09364608908037,4.25530412326201,5.59451239505798,4.92591946380025,6.65261390915888,4.74924701162218,6.63073634691842,3.69893504968065,4.30684194757779,5.22261563542145,5.92020688961272,5.68890420019957,6.94043111993756,5.74070125539254,6.08035172054037,6.73149005514367,9.90625538580677,4.60298797427916,4.78197854378424,5.3234263381986,4.63184682138057,6.52558622347162,6.33246280130579,9.71015087305684,4.60987445104651,4.99143171718967,4.71764604622964,6.25848246271311,9.72946021301444,5.63744908422315,4.8468318671667,5.21161798455283,3.7163381196323,9.10296531256584,5.6479261263211,7.63009323177377,4.90117222950018,6.01718273988626,9.54435357565016,7.18981979932117,7.69927265089641,6.55627306030612,12.3969054739072,4.69893354011634,7.22702249919991,6.08903573234804,3.71115701933083,5.29467071322852,9.25482757366853,5.34439390078354,8.42486393881988,7.82091587970768,6.85056550415508,7.77090863255021,3.80556486368031,4.42217333376637,6.16186500327124,3.55102020352188,5.10990100539675,5.62050703229076,5.53177546096981,7.77111698894096,3.37584083532972,9.35967692886888,4.03669478746352,10.401802858485,4.91410048965674,4.80070301166933,9.06976855015721,8.63787728979969,7.09057742086487,5.54288410637674,10.7088171931521,10.0559309434339,5.80848784926478,8.24626204153849,4.16397229240921,8.20003971806118,6.43884110086765,6.73004954489738,7.24232213779759,5.52893737343847,8.88993836819365,"ERPOS"
"GSM801850_JB_072310_CELTYP_76EstroRecepPOSTumor2_Glyco_v4_Hs.CEL.gz",6.8357653361896,6.78641762712361,7.21224347012396,7.63335778569715,5.71827210115251,3.8881016503283,10.5219397051857,7.47862171709498,6.06120912968982,9.12049108619897,7.6640004888633,11.2148334329451,9.42891244203039,8.56278445515219,7.75325288746297,10.5390049605383,6.2851326018552,4.29948455203643,8.89853600523978,4.89616117458345,7.12834662058155,7.58286075448663,8.72843994438363,8.47631615290374,4.87477682448623,10.0937708282569,4.47480894882658,7.57009520996201,7.55227939382532,8.66312846523824,5.47276207365613,12.5156999896177,5.21167108887836,6.43324503929225,5.5070293876389,8.68881614336781,3.97635231410335,12.3883086397527,5.43804634397733,6.75924161110709,6.78428129931851,10.4239766589572,6.03830996201102,5.47234180786293,4.2827163088965,5.75342529222281,4.93722061511881,4.99118719259564,5.06964351530296,5.89936357697931,4.22647274940656,4.20945102336067,4.99450196685667,6.18984425143954,5.70566436647456,6.37764088957196,5.80447524857198,5.19849616874632,6.39408192663063,10.5691680380425,4.79654844299652,4.91241423690899,5.34249692054312,4.85737997958667,8.36647438971338,6.1101239164292,8.91270684211585,4.79136507418461,5.05339613945154,4.37934426855978,8.30846157411523,10.9598604118911,5.90171001515457,5.06863549953301,5.25734971890586,4.26580930273545,8.77200396207629,5.5845297960498,8.52834204671648,4.75088660755752,6.06593552853136,10.4577355857298,6.75069835831724,6.81743133208141,7.8347121224804,12.5954947153794,5.12115839541671,6.44836482600817,6.72252549181703,3.66721098340393,5.51862047671199,10.044979596922,4.41276796700923,8.56370078357149,7.04490958725909,6.77092339383155,5.94820970089054,5.89859457354163,4.33404707915976,5.82459870615261,3.32980656839871,5.83363087748052,5.85167068691657,5.25668672754727,6.56798499636118,3.03529935102157,9.1383103954073,4.02747018690299,9.09643726508998,6.81854438200994,5.0109432341144,9.60881651572182,8.57973494856984,6.92896912856271,7.19099675178607,10.390045180419,10.7672070777629,5.26700823103239,9.35047542817971,4.93201817102244,7.78327736241289,7.14559600339235,6.89578906274389,6.77155718982591,5.3492113197124,8.94777139016906,"ERPOS"
